City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,new norfolk,-42.7826,147.0587,13.82,66,50,0.45,AU,1678567945
1,punta arenas,-53.15,-70.9167,15.06,36,0,7.2,CL,1678567946
2,esperance,-33.8667,121.9,15.61,92,30,4.22,AU,1678567947
3,saint-philippe,-21.3585,55.7679,24.77,85,99,5.14,RE,1678567948
4,arraial do cabo,-22.9661,-42.0278,26.92,69,40,5.66,BR,1678567824
5,mahon,39.8885,4.2658,15.31,82,0,4.63,ES,1678567948
6,hobart,-42.8794,147.3294,14.01,78,75,2.57,AU,1678567808
7,margate,51.3813,1.3862,5.5,79,100,1.79,GB,1678567949
8,busselton,-33.65,115.3333,16.87,65,97,1.33,AU,1678567949
9,ushuaia,-54.8,-68.3,11.81,43,20,4.63,AR,1678567950
10,rikitea,-23.1203,-134.9692,25.32,84,72,14.11,PF,1678567922
11,shashi,30.3072,112.2447,14.38,22,99,8.01,CN,1678567950
12,bredasdorp,-34.5322,20.0403,17.08,55,89,1.91,ZA,1678567697
13,saint-pierre,-21.3393,55.4781,24.82,88,75,9.77,RE,1678567951
14,muisne,0.6,-80.0333,25.36,88,100,2.19,EC,1678567951
15,walvis bay,-22.9575,14.5053,16.16,74,0,6.11,NA,1678567952
16,kapaa,22.0752,-159.319,24.15,69,100,2.57,US,1678567952
17,namibe,-15.1961,12.1522,22.33,85,100,1.33,AO,1678567953
18,broome,42.2506,-75.833,-0.55,84,100,6.69,US,1678567953
19,vaini,-21.2,-175.2,27.09,78,75,2.57,TO,1678567953
20,bluff,-46.6,168.3333,15.43,70,88,6.44,NZ,1678567954
21,tigil,57.8,158.6667,-27.67,100,81,1.46,RU,1678567954
22,saint george,37.1041,-113.5841,19.03,54,0,7.72,US,1678567887
23,fortuna,40.5982,-124.1573,11.86,74,20,5.66,US,1678567771
24,bonthe,7.5264,-12.505,26.49,84,100,2.79,SL,1678567955
25,olafsvik,64.8945,-23.7142,-6.99,61,100,10.33,IS,1678567956
26,la tuque,47.4334,-72.7824,4.14,38,46,3.6,CA,1678567956
27,puri,19.8,85.85,23.29,75,0,3.02,IN,1678567956
28,norman wells,65.282,-126.8329,-18.98,65,75,1.03,CA,1678567957
29,barrow,71.2906,-156.7887,-24.99,77,0,3.6,US,1678567957
30,kollam,8.8833,76.6,24.84,79,43,2.34,IN,1678567958
31,dikson,73.5069,80.5464,-16.36,93,100,6.0,RU,1678567958
32,huarmey,-10.0681,-78.1522,26.49,73,64,4.3,PE,1678567958
33,kawalu,-7.3817,108.2082,21.7,97,66,0.39,ID,1678567959
34,tuktoyaktuk,69.4541,-133.0374,-16.0,85,100,8.75,CA,1678567959
35,east london,-33.0153,27.9116,20.62,74,71,7.26,ZA,1678567960
36,jamestown,42.097,-79.2353,-0.23,83,100,4.12,US,1678567928
37,alofi,-19.0595,-169.9187,24.94,22,100,1.54,NU,1678567960
38,riosucio,5.4216,-75.7032,16.19,94,100,0.76,CO,1678567961
39,port moresby,-9.4431,147.1797,24.68,88,20,2.57,PG,1678567961
40,hastings,50.8552,0.5729,6.4,52,100,5.52,GB,1678567962
41,mataura,-46.1927,168.8643,15.93,56,96,2.38,NZ,1678567962
42,bathsheba,13.2167,-59.5167,28.34,65,40,7.72,BB,1678567962
43,poya,-21.35,165.15,25.8,67,5,2.13,NC,1678567695
44,albany,42.6001,-73.9662,4.38,71,99,0.45,US,1678567963
45,katsuura,35.1333,140.3,12.11,63,0,2.1,JP,1678567963
46,port alfred,-33.5906,26.891,19.54,83,86,2.24,ZA,1678567964
47,vostok,46.4856,135.8833,-4.9,98,100,1.0,RU,1678567964
48,awjilah,29.1081,21.2869,17.57,47,0,3.71,LY,1678567965
49,hermanus,-34.4187,19.2345,15.45,60,80,3.84,ZA,1678567965
50,zhanaozen,43.3,52.8,10.46,59,2,6.21,KZ,1678567965
51,salinas,36.6777,-121.6555,20.91,64,75,4.12,US,1678567966
52,yellowknife,62.456,-114.3525,-17.71,60,20,6.17,CA,1678567815
53,zinder,13.8072,8.9881,25.96,9,87,4.52,NE,1678567966
54,leningradskiy,69.3833,178.4167,-27.28,92,12,2.62,RU,1678567967
55,port lincoln,-34.7333,135.8667,15.72,79,8,4.56,AU,1678567967
56,lokhvytsya,50.3678,33.2602,9.24,93,100,7.74,UA,1678567968
57,butaritari,3.0707,172.7902,27.52,76,4,6.67,KI,1678567968
58,krutinka,56.0055,71.5113,-5.43,92,70,5.17,RU,1678567968
59,college,64.8569,-147.8028,-6.55,81,20,0.0,US,1678567969
60,atuona,-9.8,-139.0333,26.68,77,84,3.69,PF,1678567969
61,at-bashi,41.1702,75.8106,-5.27,77,81,3.24,KG,1678567970
62,faya,18.3851,42.4509,15.06,76,41,2.37,SA,1678567970
